geo.place_id,full_name,counts,coords,lat,lon
97bcdfca1a2dca59,"Río de Janeiro, Brasil",4,"(-22.9110137, -43.2093727)",-22.9110137,-43.2093727
9807c5c5f7a2c6ce,"Minnesota, USA",1,"(45.9896587, -94.6113288)",45.9896587,-94.6113288
9a974dfc8efb32a0,"Kansas City, MO",1,"(39.100105, -94.5781416)",39.100105,-94.5781416
9f659d51e5c5deae,"Viena, Austria",1,"(48.2083537, 16.3725042)",48.2083537,16.3725042
a2c84129f9dcf69f,"San Marcos, CA",1,"(33.1433723, -117.1661449)",33.1433723,-117.1661449
a390148b838f5b57,"Slovoville, South Africa",1,"(-26.215, 27.7866667)",-26.215,27.7866667
a3d770a00f15bcb1,"Corpus Christi, TX",1,"(27.7951482, -97.3942053)",27.7951482,-97.3942053
a58a872123811d63,"Danville, VA",1,"(36.5859718, -79.3950228)",36.5859718,-79.3950228
a971c3d2181d4305,"Chiasso, Svizzera",1,"(45.8355209, 9.0290169)",45.8355209,9.0290169
abbb45debbf38127,"Nilópolis, Brasil",1,"(-22.8080114, -43.4138222)",-22.8080114,-43.4138222
af9b4adab9fc362c,"Oeiras, Portugal",1,"(38.7124971, -9.271300382407272)",38.7124971,-9.271300382407272
b004be67b9fd6d8f,"Norfolk, VA",1,"(36.8968052, -76.2602336)",36.8968052,-76.2602336
b49b3053b5c25bf5,"Denver, CO",1,"(39.7392364, -104.9848623)",39.7392364,-104.9848623
b4fadeb3a3a29e2f,"Dortmund, Alemania",1,"(51.5142273, 7.4652789)",51.5142273,7.4652789
b90f2a335f8565c0,"Arden-Arcade, CA",1,"(38.6039613, -121.38300352999352)",38.6039613,-121.38300352999352
bc3a38d3d5999b4b,"Washington, USA",1,"(38.8950368, -77.0365427)",38.8950368,-77.0365427
c632019824f7874d,"Pieve Santo Stefano, Toscana",1,"(43.6693568, 12.041589)",43.6693568,12.041589
cb407226ddba7ce4,"Solidaridad, Quintana Roo",1,"(20.584374699999998, -87.50345268296755)",20.584374699999998,-87.50345268296755
d1cd39353c51904d,"Boca Raton, FL",1,"(26.3586885, -80.0830984)",26.3586885,-80.0830984
d3492c68c5661201,"Querétaro, Querétaro Arteaga",1,"(20.5954708, -100.3970593)",20.5954708,-100.3970593
d581e007d22ddf93,"Park Forest Village, PA",1,"(40.8043195, -77.911844)",40.8043195,-77.911844
d95b50d40bcc459b,"Lodz, Polonia",1,"(51.772806599999996, 19.47849495849145)",51.772806599999996,19.47849495849145
db94c1cccc67c4f4,"Zúrich, Suiza",1,"(47.3744489, 8.5410422)",47.3744489,8.5410422
dc3747428fa88cab,"Spokane, WA",1,"(47.6571934, -117.4235106)",47.6571934,-117.4235106
dd9c503d6c35364b,"Pensilvania, USA",1,"(40.9699889, -77.7278831)",40.9699889,-77.7278831
de599025180e2ee7,"Ohio, USA",1,"(40.2253569, -82.6881395)",40.2253569,-82.6881395
e0649871bd10d9cf,"Amadora, Portugal",1,"(38.7595162, -9.223677009460125)",38.7595162,-9.223677009460125
ea9809774c4145c3,"Mlati, Indonesia",3,"(-7.7360497, 110.3298830614466)",-7.7360497,110.3298830614466
ebb2c0a78f95fb17,"San Blas Atempa, Oaxaca",1,"(16.360647649999997, -95.14105123042769)",16.360647649999997,-95.14105123042769
ecbe2aea853af44e,"Tallahassee, FL",1,"(30.4380832, -84.2809332)",30.4380832,-84.2809332
