tweet_id,lang,possibly_sensitive,created_at,text,type,clean_tweet
1464826328503529476,en,False,2021-11-28T05:19:46.000Z,"@JayExci Um, yeah so... it's not the MCU anymore it's the MCMV so if you're gonna hate at least be accurate. Also, Shang Chi sucked Black Widow was poop and Thanos was right. Spider orgy let's gooooo!!!",replied_to,"['sucked', 'black', 'anymore', 'um', 'spider', 'thanos', 'going', 'widow', 'yeah', 'u', 'gooooo', 'hate', 'accurate', 'mcu', 'least', 'right', 'chi', 'orgy', 'also', '!', 'shang', 'let', 'poop', 'mcmv']"
1464826009098854400,en,False,2021-11-28T05:18:30.000Z,"@adevilspawn || LMAO ,, like i caught up p quick but god ,,, help ,, i have a 1.3k black widow deader than this account",replied_to,"['like', 'deader', 'black', 'caught', 'widow', 'god', '1', '3k', 'lmao', 'p', '||', 'help', 'quick', 'account']"
1464825867427717123,en,False,2021-11-28T05:17:56.000Z,"Body art on Black Widow, that I did for @nadya's photoshoot during my Philly days. https://t.co/yVyGuFPxVU",,"['body', 'black', 'widow', 'photoshoot', ""'s"", 'day', 'philly', 'art']"
1464825461389803521,en,False,2021-11-28T05:16:19.000Z,"@susieq2457 @Yahoo Geezus!… If it ain’t one thing it’s another! I’ve never heard of that variety of spider before! Black Widow sure, but not that one.",replied_to,"['!', 'black', 'before', 'widow', 'never', 'another', 'thing', 'spider', 'sure', 'geezus', 'I', 'heard', 'one', 'variety']"
1464825251112665090,en,False,2021-11-28T05:15:29.000Z,black widow is an insanely boring movie holy fuck,,"['widow', 'black', 'holy', 'boring', 'fuck', 'insanely', 'movie']"
1464825163233562627,und,False,2021-11-28T05:15:08.000Z,@xylovael https://t.co/cq6KtkWA3L,replied_to,[]
1464824839978553348,en,False,2021-11-28T05:13:51.000Z,@DrutangAtHome Does that mean black widow is the whore of Babylon?,replied_to,"['widow', 'black', 'babylon', 'mean', '?', 'whore']"
1464824623250526210,en,False,2021-11-28T05:12:59.000Z,@trendless @DrDanRWilson It is somewhat fiercely debated as to whether the BR is as likely as Ogopogo. The one I report here was allegedly from a wood stockpile shipped from USA. And I have seen Black Widow in Lillooet (was brought in). https://t.co/sB4AUwPOCE,quoted,"['black', 'brought', 'whether', 'allegedly', 'debated', 'one', '(', 'ogopogo', 'somewhat', 'widow', 'in', 'br', 'seen', 'stockpile', 'wa', ')', 'shipped', 'lillooet', 'wood', 'report', 'fiercely', 'likely', 'usa']"
1464824359307071489,en,False,2021-11-28T05:11:57.000Z,"@NftRated Check out my NFT! https://t.co/BjgKjuqHJi
#nft #NFTs #NFTCommunity #NFTGiveaway #NFTartists #nftcollector #NFTshill #Sandboxgame",replied_to,"['nft', 'check', '!']"
1464823695533391873,en,False,2021-11-28T05:09:18.000Z,"Black Widow was enjoyable, as I expected.",,"['widow', 'expected', 'black', 'enjoyable']"
1464823133001732098,en,False,2021-11-28T05:07:04.000Z,Disney says it found ways to compensate talent in the wake of 'Black Widow' lawsuit - https://t.co/GaGMLWYS5D #content https://t.co/EENChx6zDn,,"['widow', 'talent', ""'black"", 'say', ""'"", 'way', 'disney', 'found', 'compensate', 'lawsuit', 'wake']"
1464822916378505219,es,False,2021-11-28T05:06:13.000Z,tengo ganas de ver black widow pero será mañana so quien para verla juntes-,,"['black', 'widow', 'quien', 'pero', 'serum', 'verla', 'para', 'ganas', 'ver', 'manana', 'tengo', 'juntes', 'de']"
1464822911169183749,en,False,2021-11-28T05:06:11.000Z,@AndrewsVisual Definitely Hawkeye or Black Widow https://t.co/GBJR7RcwMK,replied_to,"['black', 'definitely', 'widow', 'hawkeye']"
1464822892223467524,en,False,2021-11-28T05:06:07.000Z,@DEVOTEDKNlGHT what’s a black widow master huffman,replied_to,"['widow', 'black', 'master', 'huffman']"
1464822800980586496,en,False,2021-11-28T05:05:45.000Z,"@TNTina Genuinely don’t know. 
Either Rick Grimes , ScarJo Black Widow , Jill , Demi or Harley.",replied_to,"['black', 'widow', 'jill', 'harley', 'rick', 'either', 'know', 'grime', 'genuinely', 'scarjo', 'demi']"
1464822763001053188,en,False,2021-11-28T05:05:36.000Z,"After 2 years 😄

📽🎞 Black Widow https://t.co/g5d6feC90w",,"['year', 'black', '2', 'widow']"
1464822721481687040,en,False,2021-11-28T05:05:26.000Z,@Leo_Rydel Captain Marvel is nostalgia🤌🏽 Aunt May is not supposed to be attractive nor is Mary Jane supposed to be Black &amp; a nerd. Black Widow should’ve died in the 1st Avengers. Marvel Studios doesn’t know what they’re doing w/ Marvel Comics intellectual property. The Eternals sucks.,replied_to,"['supposed', 'studio', 'black', 'may', '1st', 'comic', 'widow', 'captain', 'suck', '&', 'marvel', 'mary', 'know', 'nostalgia', 'jane', 'aunt', 'attractive', 'w/', 'eternals', 'intellectual', 'died', 'amp', 'property', 'rydel', 'avenger', 'nerd']"
1464822198904913920,en,False,2021-11-28T05:03:21.000Z,"@Monstermash042 Heh, if you want editing that won't let a shot breathe, look at Black Widow. That film won't even let a shot breathe for 3 F****ING SECONDS in scenes, especially during the action sequences.",replied_to,"['black', 'film', 'f', 'especially', '*', 'widow', 'want', 'even', 'look', 'action', 'heh', 'sequence', 'editing', 'second', '3', 'breathe', 'shot', 'ing', 'let', 'scene']"
1464822024488898564,en,False,2021-11-28T05:02:40.000Z,I ship Black Widow and Party Diva,,"['widow', 'black', 'ship', 'diva', 'party']"
