country,full_name,geo.place_id,name
Egipto,"Gharbia, Egipto",01e6470a596910ae,Gharbia
Australia,"Melbourne, Victoria",01864a8a64df9dc4,Melbourne
Estados Unidos,"Bakersfield, CA",960993b9cfdffda9,Bakersfield
Estados Unidos,"Miami Beach, FL",0121b92345f0e2b4,Miami Beach
Egipto,"Gharbia, Egipto",01e6470a596910ae,Gharbia
Italia,"Roma, Lacio",7d588036fe12e124,Roma
Canadá,"Capital F, British Columbia",549510cfdf4c6efb,Capital F
Reino Unido,"Sutton, London",758461cd66db17e0,Sutton
Reino Unido,"Portsmouth, England",511655fc081bb251,Portsmouth
Holanda,"Utrecht, Holanda",871685aa82f8a489,Utrecht
Estados Unidos,"Georgia, USA",7142eb97ae21e839,Georgia
Bélgica,"Lovaina, Bélgica",69ac35a51e92c734,Lovaina
