country,full_name,geo.place_id,name
Estados Unidos,"Seattle, WA",300bcc6e23a88361,Seattle
India,"बिकानेर, भारत",39bcbc12c2a9eb56,बिकानेर
Estados Unidos,"Bronx, NY",002e24c6736f069d,Bronx
Colombia,"Bogotá, D.C., Colombia",0161be1b3f98d6c3,"Bogotá, D.C."
Estados Unidos,"Spokane, WA",dc3747428fa88cab,Spokane
Alemania,"Dortmund, Alemania",b4fadeb3a3a29e2f,Dortmund
Italia,"Pieve Santo Stefano, Toscana",c632019824f7874d,Pieve Santo Stefano
Francia,"Mittelbergheim, France",4e00382564ca3bc1,Mittelbergheim
Estados Unidos,"South Apopka, FL",00e0e6552e44338b,South Apopka
Canadá,"Halifax, Nova Scotia",5d058f2e9fe1516c,Halifax
Portugal,"Oeiras, Portugal",af9b4adab9fc362c,Oeiras
México,"Reynosa, Tamaulipas",56e525d58114f761,Reynosa
Brasil,"Nilópolis, Brasil",abbb45debbf38127,Nilópolis
