country,full_name,geo.place_id,name
Estados Unidos,"West Plains, MO",f0114bbb5ae8e330,West Plains
India,"तुलजापुर, भारत",3e895aa35b46ead7,तुलजापुर
República de Filipinas,"Ciudad de Manila, NCR (Región de la Capital Nacional)",01bb53b81ba40196,Ciudad de Manila
Indonesia,"Miri, Indonesia",4bd8e21f8a745fa6,Miri
Estados Unidos,"Queens, NY",00c39537733fa112,Queens
Chile,"Antofagasta, Chile",002442586af0948e,Antofagasta
España,"Colmenar Viejo, España",55585531c0884bc1,Colmenar Viejo
España,"La Seu d'Urgell, España",5e70905ed8ad1110,La Seu d'Urgell
España,"Sevilla, España",8c86b8b4cb716103,Sevilla
Estados Unidos,"Carolina del Norte, USA",3b98b02fba3f9753,Carolina del Norte
Estados Unidos,"Severn, MD",1c98b097b6fcb4d6,Severn
Chipre,Chipre,f0af1239cbebb474,Chipre
