country,full_name,geo.place_id,name
Suiza,"Zúrich, Suiza",db94c1cccc67c4f4,Zúrich
Estados Unidos,"Queens, NY",00c39537733fa112,Queens
Australia,"Sydney, New South Wales",0073b76548e5984f,Sydney
Estados Unidos,"Westville, NJ",3f752fbaeee49d03,Westville
Reino Unido,"Scotland, United Kingdom",0af014accd6f6e99,Scotland
Estados Unidos,"Harrison, NY",00efea4f0eed2bc6,Harrison
España,"Valladolid, España",2afe3164f39d1b83,Valladolid
Nueva Zelanda,"Auckland, New Zealand",0022e3c837579650,Auckland
Estados Unidos,"Park Forest Village, PA",d581e007d22ddf93,Park Forest Village
Reino Unido,"Halesowen, England",77baca01fc05edc8,Halesowen
Reino Unido,"High Wycombe, England",3abd70ca60af5075,High Wycombe
Canadá,"Burlington, Ontario",7059f9b9f31d4c4a,Burlington
Estados Unidos,"Minnesota, USA",9807c5c5f7a2c6ce,Minnesota
Reino Unido,"Ryde, England",2222f3f9b834c622,Ryde
