country,full_name,geo.place_id,name
Estados Unidos,"Los Angeles, CA",3b77caf94bfc81fe,Los Angeles
México,"Solidaridad, Quintana Roo",cb407226ddba7ce4,Solidaridad
Indonesia,"Mlati, Indonesia",ea9809774c4145c3,Mlati
Indonesia,"Mlati, Indonesia",ea9809774c4145c3,Mlati
Reino Unido,"Manchester, England",315b740b108481f6,Manchester
Estados Unidos,"Washington, USA",bc3a38d3d5999b4b,Washington
Estados Unidos,Soho House,107a33b8d2575002,Soho House
Reino Unido,"South East, England",06168d1feda43857,South East
South Africa,"Slovoville, South Africa",a390148b838f5b57,Slovoville
Polonia,"Lodz, Polonia",d95b50d40bcc459b,Lodz
Dominican Republic,"anto Domingo de Guzmán, Dominican Republic",01fcc4a23f17e1ed,anto Domingo de Guzmán
Estados Unidos,"Las Vegas, NV",0d7e4a0b16143000,"Las Vegas, NV"
Estados Unidos,"Utah, USA",1879ace9e02ace61,Utah
Canadá,"Vancouver, British Columbia",1e5cb4d0509db554,Vancouver
